Date,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption,Aviation Gasoline CO2 Emissions,"Coal, Including Coal Coke Net Imports, CO2 Emissions","Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Hydrocarbon Gas Liquids CO2 Emissions,Jet Fuel CO2 Emissions,Kerosene CO2 Emissions,Lubricants CO2 Emissions,"Motor Gasoline, Excluding Ethanol, CO2 Emissions","Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Other Petroleum Products CO2 Emissions,Petroleum Coke CO2 Emissions,"Petroleum, Excluding Biofuels, CO2 Emissions",Residual Fuel Oil CO2 Emissions,Total Energy CO2 Emissions,GDP,Employment Rate,Industrial Output
1973-01-01,1.166486,1.908249,1.649833,0.208064,4.932632,0.068103,0.089562,0.00049,Not Available,Not Available,0.129787,0.219839,5.220574,1.166191,2.397308,3.185268,6.747651,0.068103,0.089562,0.00049,Not Available,Not Available,0.129787,0.219839,7.039731,0.428,109.552,55.157,10.463,13.742,5.222,1.037,70.948,125.557,8.754,4.85,218.972,48.37,454.082,1377.49,57.5,44.4196
1973-02-01,1.086072,1.922543,1.525783,0.195184,4.729582,0.064634,0.079544,0.000448,Not Available,Not Available,0.117338,0.19733,4.991545,1.050588,2.170646,2.941986,6.163095,0.064634,0.079544,0.000448,Not Available,Not Available,0.117338,0.19733,6.428796,0.431,98.833,51.771,8.848,12.193,4.475,1.025,67.422,113.75,7.674,3.992,202.519,44.686,415.102,1389.6223333333332,57.6,44.5439
1973-03-01,1.196571,1.86843,1.667094,0.214807,4.946902,0.072494,0.088284,0.000464,Not Available,Not Available,0.129938,0.218686,5.238082,1.046856,2.057315,2.942485,6.044647,0.072494,0.088284,0.000464,Not Available,Not Available,0.129938,0.218686,6.339964,0.459,98.483,44.46,6.687,12.293,2.582,1.105,75.532,107.7,8.659,4.357,201.245,45.111,407.428,1401.7546666666667,57.699999999999996,44.6682
1973-04-01,1.11223,1.777561,1.616791,0.20969,4.716271,0.06407,0.083152,0.000542,Not Available,Not Available,0.125636,0.20933,4.989672,0.998979,1.873535,2.621315,5.493184,0.06407,0.083152,0.000542,Not Available,Not Available,0.125636,0.20933,5.770589,0.446,94.15,33.973,5.793,12.112,2.031,0.979,73.415,97.838,8.23,4.179,176.222,35.063,368.21,1413.887,57.8,44.7925
1973-05-01,1.216978,1.859241,1.665377,0.215398,4.956995,0.062111,0.085643,0.000505,Not Available,Not Available,0.129834,0.215982,5.235087,1.014502,1.765309,2.836567,5.613551,0.062111,0.085643,0.000505,Not Available,Not Available,0.129834,0.215982,5.895781,0.549,95.424,35.591,5.489,13.756,1.702,1.156,80.105,92.039,8.688,4.645,188.57,36.889,376.032,1420.5373333333332,57.83333333333333,44.91876666666666
1973-06-01,1.103861,1.802065,1.603224,0.206945,4.716096,0.073968,0.08206,0.000579,Not Available,Not Available,0.125611,0.208249,4.998313,1.050077,1.566214,2.731435,5.347479,0.073968,0.08206,0.000579,Not Available,Not Available,0.125611,0.208249,5.6337,0.471,98.888,31.175,4.503,12.039,1.464,1.006,78.155,81.657,8.846,4.872,179.443,36.914,359.988,1427.1876666666667,57.86666666666667,45.045033333333336
1973-07-01,1.034037,1.841884,1.65724,0.215115,4.748276,0.07589,0.0774,0.000614,Not Available,Not Available,0.129787,0.2078,5.031966,1.110438,1.590718,2.80454,5.504556,0.07589,0.0774,0.000614,Not Available,Not Available,0.129787,0.2078,5.792383,0.419,104.371,31.004,4.416,12.941,1.91,1.22,81.449,82.866,9.082,4.803,182.532,35.288,369.77,1433.838,57.9,45.1713
1973-08-01,1.319832,1.857199,1.648505,0.216461,5.041997,0.084883,0.072936,0.000579,Not Available,Not Available,0.129918,0.203432,5.330313,1.135679,1.615222,2.999441,5.748879,0.084883,0.072936,0.000579,Not Available,Not Available,0.129918,0.203432,6.041332,0.668,106.631,34.029,5.232,12.956,1.886,1.187,84.156,84.098,9.168,5.01,194.606,40.315,385.335,1447.9883333333332,58.0,45.3972
1973-09-01,1.142385,1.803086,1.577362,0.208671,4.731504,0.085724,0.059029,0.00049,Not Available,Not Available,0.125782,0.1853,5.002528,1.057732,1.559067,2.761173,5.376782,0.085724,0.059029,0.00049,Not Available,Not Available,0.125782,0.1853,5.651809,0.462,99.436,34.466,5.331,12.808,2.296,1.04,73.854,81.115,8.302,4.341,180.789,37.889,361.34,1462.1386666666667,58.1,45.6231
1973-10-01,1.285586,1.836779,1.658452,0.217504,4.998321,0.081971,0.062967,0.000578,Not Available,Not Available,0.12997,0.193514,5.273806,1.083177,1.743868,2.936519,5.7653,0.081971,0.062967,0.000578,Not Available,Not Available,0.12997,0.193514,6.044923,0.55,102.224,39.032,6.645,13.631,2.308,1.28,77.434,90.662,8.591,5.142,192.508,37.895,385.393,1476.289,58.2,45.849
